0.780 	0.830 	0.837 	0.752 	0.673 	0.758 	0.633 	0.752 	
0.782 	0.811 	0.839 	0.763 	0.674 	0.776 	0.671 	0.759 	
0.771 	0.833 	0.835 	0.780 	0.672 	0.773 	0.664 	0.761 	
0.763 	0.834 	0.830 	0.770 	0.676 	0.776 	0.667 	0.759 	
0.764 	0.819 	0.829 	0.764 	0.678 	0.763 	0.658 	0.754 	
0.757 	0.808 	0.834 	0.767 	0.666 	0.717 	0.610 	0.737 	
0.760 	0.808 	0.833 	0.771 	0.668 	0.736 	0.664 	0.748 	
0.773 	0.832 	0.832 	0.768 	0.681 	0.732 	0.651 	0.753 	
0.779 	0.832 	0.832 	0.760 	0.677 	0.744 	0.620 	0.749 	
0.777 	0.840 	0.836 	0.756 	0.667 	0.752 	0.638 	0.752 	
0.766 	0.848 	0.832 	0.769 	0.674 	0.745 	0.642 	0.754 	
0.768 	0.846 	0.830 	0.782 	0.673 	0.762 	0.661 	0.760 	
0.773 	0.831 	0.836 	0.778 	0.660 	0.780 	0.663 	0.760 	
0.759 	0.844 	0.841 	0.773 	0.681 	0.783 	0.682 	0.766 	
0.759 	0.835 	0.843 	0.774 	0.679 	0.783 	0.667 	0.763 	
0.760 	0.844 	0.837 	0.785 	0.677 	0.763 	0.659 	0.761 	
0.764 	0.851 	0.840 	0.773 	0.686 	0.774 	0.653 	0.763 	
0.759 	0.852 	0.832 	0.771 	0.683 	0.774 	0.653 	0.761 	
0.767 	0.854 	0.836 	0.781 	0.674 	0.761 	0.653 	0.761 	
0.769 	0.850 	0.838 	0.764 	0.680 	0.758 	0.662 	0.760 	
0.751 	0.844 	0.832 	0.770 	0.677 	0.756 	0.650 	0.754 	
0.766 	0.833 	0.842 	0.756 	0.672 	0.734 	0.632 	0.748 	
0.749 	0.856 	0.829 	0.783 	0.674 	0.770 	0.664 	0.761 	
0.755 	0.860 	0.833 	0.779 	0.681 	0.766 	0.644 	0.760 	
0.764 	0.843 	0.831 	0.774 	0.677 	0.778 	0.665 	0.762 	
0.760 	0.838 	0.843 	0.778 	0.672 	0.769 	0.666 	0.761 	
0.760 	0.833 	0.839 	0.780 	0.668 	0.764 	0.675 	0.760 	
0.772 	0.843 	0.844 	0.786 	0.667 	0.782 	0.677 	0.767 	
0.747 	0.858 	0.836 	0.801 	0.680 	0.749 	0.673 	0.763 	
0.771 	0.835 	0.842 	0.790 	0.677 	0.792 	0.678 	0.769 	
0.786 	0.860 	0.836 	0.791 	0.676 	0.779 	0.689 	0.774 	
0.781 	0.845 	0.836 	0.776 	0.677 	0.786 	0.688 	0.770 	
0.758 	0.847 	0.832 	0.783 	0.671 	0.807 	0.685 	0.769 	
0.789 	0.853 	0.830 	0.772 	0.681 	0.784 	0.671 	0.769 	
0.770 	0.856 	0.840 	0.780 	0.673 	0.765 	0.679 	0.766 	
0.772 	0.856 	0.833 	0.777 	0.674 	0.763 	0.669 	0.763 	
0.767 	0.856 	0.837 	0.783 	0.674 	0.782 	0.670 	0.767 	
0.748 	0.856 	0.837 	0.785 	0.671 	0.770 	0.696 	0.766 	
0.748 	0.853 	0.835 	0.771 	0.668 	0.738 	0.664 	0.754 	
